subj,task,ord,paint,price,cons,resp,zresp,rt,zrt,conf,zconf,belcons,zbelcons,cor,zcor,corb,respcons,zrespcons,respconsb
34,1,1,7,17800,0.520833333333333,2,0.67700320038633,8.405,0.905810122737287,3,-0.28387687575088,5,-0.161834718742537,1,0.67700320038633,1,0.520833333333333,-0.21084098655135,1
34,1,1,8,26700,0.775510204081633,2,0.67700320038633,2.252,-1.53850667510024,8,1.84519969238072,8,1.78018190616791,1,0.67700320038633,1,0.775510204081633,1.32902849230393,1
34,1,1,9,178000,0.591836734693878,1,-1.35400640077266,8.879,1.09410951525719,3,-0.28387687575088,6,0.485504156227612,0,-1.35400640077266,0,0.408163265306122,-0.892085413757779,0
34,1,1,10,267000,0.630434782608696,2,0.67700320038633,4.425,-0.67526916466615,3,-0.28387687575088,5,-0.161834718742537,1,0.67700320038633,1,0.369565217391304,-1.12546332417731,0
34,1,1,11,3000000,0.583333333333333,2,0.67700320038633,4.465,-0.659378920571643,2,-0.7096921893772,4,-0.809173593712687,1,0.67700320038633,1,0.583333333333333,0.167056865521649,1
34,1,1,12,2500000,0.847826086956522,2,0.67700320038633,5.02,-0.43890178376036,8,1.84519969238072,3,-1.45651246868284,1,0.67700320038633,1,0.847826086956522,1.76627676125087,1
35,1,1,1,1,0.6875,1,-3.01511344577764,3.317,-0.26549280262367,1,-0.921906644401804,7,0.32823678258118,1,0.720749970156447,1,0.6875,0.731282159463186,1
35,1,1,2,1,0.604166666666667,2,0.301511344577763,2.755,-0.481109789725552,10,1.10628797328216,6,0.0504979665509508,0,-1.26131244777378,0,0.604166666666667,0.232806224815938,1
35,1,1,3,311,0.541666666666667,2,0.301511344577763,7.432,1.31326858870061,2,-0.696551686881363,6,0.0504979665509508,0,-1.26131244777378,0,0.541666666666667,-0.141050726169498,1
35,1,1,4,534,0.6875,2,0.301511344577763,0.105,-1.49780910613122,0,-1.14726160192224,3,-0.782718481539738,0,-1.26131244777378,0,0.3125,-1.51185954644943,0
35,1,1,6,5340,0.617021276595745,2,0.301511344577763,6.268,0.86668820972091,8,0.655578058241283,2,-1.06045729756997,0,-1.26131244777378,0,0.382978723404255,-1.09027617618926,0
35,1,1,7,17800,0.520833333333333,2,0.301511344577763,9.178,1.98313915717016,2,-0.696551686881363,0,-1.61593492963043,1,0.720749970156447,1,0.520833333333333,-0.26566970983131,1
35,1,1,8,26700,0.775510204081633,2,0.301511344577763,2.315,-0.649920242260833,10,1.10628797328216,8,0.60597559861141,1,0.720749970156447,1,0.775510204081633,1.25773378432023,1
35,1,1,10,267000,0.630434782608696,2,0.301511344577763,3.763,-0.0943803893719984,10,1.10628797328216,10,1.16145323067187,1,0.720749970156447,1,0.369565217391304,-1.17051189554968,0
